Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
1,1602144122041,08/10/2020 08:02:02,1602144121856,11,08/10/2020 19:02:01,20655,18,questionnaire-clby,,7120374,BLIND,2069371,,complete,,5f7ec72da4e5891aa54eb468,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1920x1080,1083x880,,Background session 1,1,18,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144136139,08/10/2020 08:02:16,1602144135975,11,08/10/2020 19:02:15,20655,18,questionnaire-clby,,7120374,BLIND,2069371,,complete,,5f7ec72da4e5891aa54eb468,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1920x1080,1083x880,,Background session 1,1,18,attention-pass,attention-pass,No,gender,Female
3,1602144136436,08/10/2020 08:02:16,1602144135977,11,08/10/2020 19:02:15,20655,18,questionnaire-clby,,7120374,BLIND,2069371,,complete,,5f7ec72da4e5891aa54eb468,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1920x1080,1083x880,,Background session 1,1,18,attention-pass,attention-pass,No,gender-quantised,2
4,1602144136436,08/10/2020 08:02:16,1602144135978,11,08/10/2020 19:02:15,20655,18,questionnaire-clby,,7120374,BLIND,2069371,,complete,,5f7ec72da4e5891aa54eb468,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1920x1080,1083x880,,Background session 1,1,18,attention-pass,attention-pass,No,gender-text,
5,1602144136436,08/10/2020 08:02:16,1602144135978,11,08/10/2020 19:02:15,20655,18,questionnaire-clby,,7120374,BLIND,2069371,,complete,,5f7ec72da4e5891aa54eb468,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1920x1080,1083x880,,Background session 1,1,18,attention-pass,attention-pass,No,response-2-inmonths,327
6,1602144136436,08/10/2020 08:02:16,1602144135978,11,08/10/2020 19:02:15,20655,18,questionnaire-clby,,7120374,BLIND,2069371,,complete,,5f7ec72da4e5891aa54eb468,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1920x1080,1083x880,,Background session 1,1,18,attention-pass,attention-pass,No,END QUESTIONNAIRE,14122
1,1602144143352,08/10/2020 08:02:23,1602144143577,1,08/10/2020 09:02:23,20655,18,questionnaire-clby,,7120380,BLIND,2069381,,complete,,5f7ec72be42c9b1a9eb0f2f8,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x654,,Background session 1,1,12,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144154960,08/10/2020 08:02:34,1602144155178,1,08/10/2020 09:02:35,20655,18,questionnaire-clby,,7120380,BLIND,2069381,,complete,,5f7ec72be42c9b1a9eb0f2f8,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x654,,Background session 1,1,12,attention-pass,attention-pass,No,gender,Male
3,1602144155022,08/10/2020 08:02:35,1602144155187,1,08/10/2020 09:02:35,20655,18,questionnaire-clby,,7120380,BLIND,2069381,,complete,,5f7ec72be42c9b1a9eb0f2f8,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x654,,Background session 1,1,12,attention-pass,attention-pass,No,gender-quantised,1
4,1602144155022,08/10/2020 08:02:35,1602144155187,1,08/10/2020 09:02:35,20655,18,questionnaire-clby,,7120380,BLIND,2069381,,complete,,5f7ec72be42c9b1a9eb0f2f8,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x654,,Background session 1,1,12,attention-pass,attention-pass,No,gender-text,
5,1602144155022,08/10/2020 08:02:35,1602144155189,1,08/10/2020 09:02:35,20655,18,questionnaire-clby,,7120380,BLIND,2069381,,complete,,5f7ec72be42c9b1a9eb0f2f8,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x654,,Background session 1,1,12,attention-pass,attention-pass,No,response-2-inmonths,290
6,1602144155022,08/10/2020 08:02:35,1602144155189,1,08/10/2020 09:02:35,20655,18,questionnaire-clby,,7120380,BLIND,2069381,,complete,,5f7ec72be42c9b1a9eb0f2f8,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1366x768,1366x654,,Background session 1,1,12,attention-pass,attention-pass,No,END QUESTIONNAIRE,11613
1,1602144150318,08/10/2020 08:02:30,1602144149000,1,08/10/2020 09:02:29,20655,18,questionnaire-clby,,7120384,BLIND,2069382,,complete,,5f7ec71858098c1a29446008,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1920x1080,1920x969,,Background session 1,1,10,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144159377,08/10/2020 08:02:39,1602144158111,1,08/10/2020 09:02:38,20655,18,questionnaire-clby,,7120384,BLIND,2069382,,complete,,5f7ec71858098c1a29446008,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1920x1080,1920x969,,Background session 1,1,10,attention-pass,attention-pass,No,gender,Male
3,1602144159439,08/10/2020 08:02:39,1602144158112,1,08/10/2020 09:02:38,20655,18,questionnaire-clby,,7120384,BLIND,2069382,,complete,,5f7ec71858098c1a29446008,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1920x1080,1920x969,,Background session 1,1,10,attention-pass,attention-pass,No,gender-quantised,1
4,1602144159439,08/10/2020 08:02:39,1602144158113,1,08/10/2020 09:02:38,20655,18,questionnaire-clby,,7120384,BLIND,2069382,,complete,,5f7ec71858098c1a29446008,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1920x1080,1920x969,,Background session 1,1,10,attention-pass,attention-pass,No,gender-text,
5,1602144159439,08/10/2020 08:02:39,1602144158113,1,08/10/2020 09:02:38,20655,18,questionnaire-clby,,7120384,BLIND,2069382,,complete,,5f7ec71858098c1a29446008,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1920x1080,1920x969,,Background session 1,1,10,attention-pass,attention-pass,No,response-2-inmonths,329
6,1602144159439,08/10/2020 08:02:39,1602144158113,1,08/10/2020 09:02:38,20655,18,questionnaire-clby,,7120384,BLIND,2069382,,complete,,5f7ec71858098c1a29446008,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1920x1080,1920x969,,Background session 1,1,10,attention-pass,attention-pass,No,END QUESTIONNAIRE,9113
