Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
1,1.60241E+12,11/10/2020 08:38,1.60241E+12,1,11/10/2020 09:38,20655,20,questionnaire-kzn1,,7166666,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166666,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,strategy-describe,
3,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166666,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166666,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,strategy-aid,
5,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166666,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166666,BLIND,2083609,,complete,,5f82bde5713f933e3bc02b7c,computer,Desktop or Laptop,Chromium OS 13310.93.0,Chrome 85.0.4183.133,1366x768,1366x649,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,END QUESTIONNAIRE,33279
1,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166668,BLIND,2083626,,complete,,5f82bdd7a08cb43dda0c8fa0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,,End Survey - Session 1,6,17,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166668,BLIND,2083626,,complete,,5f82bdd7a08cb43dda0c8fa0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,,End Survey - Session 1,6,17,attention-pass,attention-pass,No,strategy-describe,
3,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166668,BLIND,2083626,,complete,,5f82bdd7a08cb43dda0c8fa0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,,End Survey - Session 1,6,17,attention-pass,attention-pass,No,strategy-people,
4,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166668,BLIND,2083626,,complete,,5f82bdd7a08cb43dda0c8fa0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,,End Survey - Session 1,6,17,attention-pass,attention-pass,No,strategy-aid,
5,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166668,BLIND,2083626,,complete,,5f82bdd7a08cb43dda0c8fa0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,,End Survey - Session 1,6,17,attention-pass,attention-pass,No,strategy-misc,
6,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166668,BLIND,2083626,,complete,,5f82bdd7a08cb43dda0c8fa0,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,,End Survey - Session 1,6,17,attention-pass,attention-pass,No,END QUESTIONNAIRE,48059
1,1.60241E+12,11/10/2020 08:39,1.60241E+12,1,11/10/2020 09:39,20655,20,questionnaire-kzn1,,7166669,BLIND,2083618,,complete,,5f82bdce377d6e011cd12573,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x578,,End Survey - Session 1,6,15,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60241E+12,11/10/2020 08:40,1.60241E+12,1,11/10/2020 09:40,20655,20,questionnaire-kzn1,,7166669,BLIND,2083618,,complete,,5f82bdce377d6e011cd12573,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1280x720,1280x578,,End Survey - Session 1,6,15,attention-pass,attention-pass,No,strategy-describe,
